URL,Phishing,Risk Score (%),Engine
http://192.0.2.102/login/amazon,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.113/verify/amazon,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.126/security-check/netflix,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.134/validate/account,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.135/login/bank,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.137/auth/apple,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.153/login/microsoft,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.16/security-check/facebook,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.176/update/bank,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.183/update/netflix,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.195/update/account,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.199/security-check/amazon,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.199/validate/facebook,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.200/confirm/facebook,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.200/confirm/google,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.201/security-check/facebook,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.206/update/apple,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.22/login/netflix,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.221/reset/netflix,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.221/validate/secure,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.222/login/netflix,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.225/verify/account,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.230/verify/bank,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.24/confirm/bank,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.250/confirm/paypal,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.29/login/bank,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.35/update/microsoft,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.42/login/paypal,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.45/validate/paypal,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.5/confirm/paypal,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.52/security-check/bank,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.61/security-check/microsoft,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.73/security-check/paypal,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.87/login/google,Phishing,100,Heuristics Rule (IP Target Base)
http://192.0.2.97/validate/google,Phishing,100,Heuristics Rule (IP Target Base)
https://account.example/0zk3rixs1ti4wk5j/reset,Phishing,87,ML Fusion Network (Offline + Online)
https://account.example/pq4dhg8c3oz5fl0e/update,Phishing,84,ML Fusion Network (Offline + Online)
https://account.invalid/h6u8g1ju7vy6g27z/update,Phishing,82,ML Fusion Network (Offline + Online)
https://account.invalid/nrrtg9iedsqjovnk/update,Phishing,85,ML Fusion Network (Offline + Online)
https://account.update.secure.test/update,Phishing,79,ML Fusion Network (Offline + Online)
https://account-auth-alert.test/pyfezp5nonhh,Phishing,93,ML Fusion Network (Offline + Online)
https://account-reset-alert.invalid/rqw1pcgg1oe9,Phishing,75,ML Fusion Network (Offline + Online)
https://account-validate-alert.test/8n5f6dhwx1kp,Phishing,83,ML Fusion Network (Offline + Online)
https://account-verify-alert.example/kcvii4546t9o,Phishing,83,ML Fusion Network (Offline + Online)
https://amazon.auth.secure.test/auth,Phishing,90,Brand Deception Rule
https://amazon.test/jf9dd9dj7h7q3dgm/validate,Phishing,90,Brand Deception Rule
https://amazon.update.secure.test/update,Phishing,90,Brand Deception Rule
https://amazon-verify-alert.invalid/lqk3ybbz8sj1,Phishing,90,Brand Deception Rule
https://apple.auth.secure.example/auth,Phishing,90,Brand Deception Rule
https://apple.example/655vqy3cxls80g5i/verify,Phishing,90,Brand Deception Rule
https://apple.invalid/4u3e7t62vhxxovkk/verify,Phishing,90,Brand Deception Rule
https://apple.reset.secure.test/reset,Phishing,90,Brand Deception Rule
https://apple.security-check.secure.example/security-check,Phishing,90,Brand Deception Rule
https://apple.test/0j541q8o6mu8shrg/login,Phishing,90,Brand Deception Rule
https://apple.verify.secure.test/verify,Phishing,90,Brand Deception Rule
https://apple-auth-alert.example/p4wxpz0gd8qw,Phishing,90,Brand Deception Rule
https://apple-reset-alert.test/g8ilz6gpn1n1,Phishing,90,Brand Deception Rule
https://apple-validate-alert.invalid/mvdy8z7rbt20,Phishing,90,Brand Deception Rule
https://bank.invalid/1hp7j7qc36bzn68q/reset,Phishing,75,ML Fusion Network (Offline + Online)
https://bank.invalid/5bb0ojipk0ys13zc/login,Phishing,78,ML Fusion Network (Offline + Online)
https://bank.invalid/7axk7ztvxnu0n48f/verify,Phishing,81,ML Fusion Network (Offline + Online)
https://bank.invalid/9t7fdor2mzvho8wy/validate,Phishing,75,ML Fusion Network (Offline + Online)
https://bank.invalid/ss0q7gt8h1thk75y/confirm,Phishing,82,ML Fusion Network (Offline + Online)
https://bank.login.secure.invalid/login,Phishing,81,ML Fusion Network (Offline + Online)
https://bank.security-check.secure.test/security-check,Phishing,75,ML Fusion Network (Offline + Online)
https://bank.verify.secure.invalid/verify,Phishing,75,ML Fusion Network (Offline + Online)
https://bank-auth-alert.test/2x914esvtazq,Phishing,93,ML Fusion Network (Offline + Online)
https://bank-confirm-alert.example/aqmjm6gn98jp,Phishing,83,ML Fusion Network (Offline + Online)
https://bank-update-alert.test/dnuk46ftedfz,Phishing,85,ML Fusion Network (Offline + Online)
https://bank-validate-alert.example/58oht7pwbxxo,Phishing,80,ML Fusion Network (Offline + Online)
https://bank-verify-alert.test/7vmsr1ooztgg,Phishing,85,ML Fusion Network (Offline + Online)
https://facebook.security-check.secure.invalid/security-check,Phishing,90,Brand Deception Rule
https://facebook.test/bexg9ame5pj2xvi4/update,Phishing,90,Brand Deception Rule
https://facebook.test/nyqqc7tkaxtptaof/validate,Phishing,90,Brand Deception Rule
https://facebook.validate.secure.invalid/validate,Phishing,90,Brand Deception Rule
https://facebook.validate.secure.invalid/validate,Phishing,90,Brand Deception Rule
https://facebook.validate.secure.test/validate,Phishing,90,Brand Deception Rule
https://facebook.validate.secure.test/validate,Phishing,90,Brand Deception Rule
https://facebook-verify-alert.invalid/1p70b9ivnhuq,Phishing,90,Brand Deception Rule
https://google.confirm.secure.invalid/confirm,Phishing,90,Brand Deception Rule
https://google.example/q709glbpxn0zeknc/reset,Phishing,90,Brand Deception Rule
https://google.invalid/i4z38ysumbw6hyuf/login,Phishing,90,Brand Deception Rule
https://google.security-check.secure.invalid/security-check,Phishing,90,Brand Deception Rule
https://google.test/4h9xk0qh1pgdxpr2/security-check,Phishing,90,Brand Deception Rule
https://google.test/hu0srd6bgp79df1v/security-check,Phishing,90,Brand Deception Rule
https://google-confirm-alert.invalid/hzxg8pzrsven,Phishing,90,Brand Deception Rule
https://google-login-alert.test/czrbuysk8dpd,Phishing,90,Brand Deception Rule
https://google-validate-alert.example/bfwwi6r6ewzt,Phishing,90,Brand Deception Rule
https://microsoft.auth.secure.example/auth,Phishing,90,Brand Deception Rule
https://microsoft.example/v7w7tz4krnpm43h1/update,Phishing,90,Brand Deception Rule
https://microsoft.reset.secure.invalid/reset,Phishing,90,Brand Deception Rule
https://microsoft.security-check.secure.invalid/security-check,Phishing,90,Brand Deception Rule
https://microsoft.test/brylqmxdxb6a4ie5/security-check,Phishing,90,Brand Deception Rule
https://microsoft.test/gv5zrvf1m20rx979/update,Phishing,90,Brand Deception Rule
https://microsoft.verify.secure.example/verify,Phishing,90,Brand Deception Rule
https://microsoft-reset-alert.test/tyvbdfx04pxu,Phishing,90,Brand Deception Rule
https://microsoft-verify-alert.test/dk2ufgms8g5e,Phishing,90,Brand Deception Rule
https://netflix.invalid/13jezxkekjmq2v60/login,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix.invalid/etcihnwhg2r6zlwu/reset,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix.invalid/f1s1tzehfde6r72a/verify,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix.security-check.secure.example/security-check,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix.security-check.secure.test/security-check,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix.update.secure.invalid/update,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix.validate.secure.example/validate,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix.validate.secure.invalid/validate,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix.verify.secure.invalid/verify,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix.verify.secure.test/verify,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix-confirm-alert.example/1tk6e9lmwmvz,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix-confirm-alert.invalid/m9b7wfbd8dxh,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix-reset-alert.example/5rshdq2f3dja,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix-security-check-alert.example/u9tjazd8ec3m,Phishing,75,ML Fusion Network (Offline + Online)
https://netflix-validate-alert.example/5b4iqfp5sf2j,Phishing,75,ML Fusion Network (Offline + Online)
